I, [2017-07-11T23:47:24.973736 #15822]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-07-11T23:47:24.974213 #15822] ERROR -- Kitchen: ------Exception-------
E, [2017-07-11T23:47:24.974262 #15822] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-07-11T23:47:24.974291 #15822] ERROR -- Kitchen: Message: Kitchen YAML file /Users/mjtk/git/learn-chef/.kitchen.yml does not exist.
E, [2017-07-11T23:47:24.974377 #15822] ERROR -- Kitchen: ----------------------
E, [2017-07-11T23:47:24.974403 #15822] ERROR -- Kitchen: ------Backtrace-------
E, [2017-07-11T23:47:24.974440 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-07-11T23:47:24.974501 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-07-11T23:47:24.974519 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-07-11T23:47:24.974533 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-07-11T23:47:24.974548 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-07-11T23:47:24.974561 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-07-11T23:47:24.974575 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-07-11T23:47:24.974588 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-07-11T23:47:24.974602 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-07-11T23:47:24.974629 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-07-11T23:47:24.974668 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/test.rb:38:in `call'
E, [2017-07-11T23:47:24.974681 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-07-11T23:47:24.974694 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:234:in `test'
E, [2017-07-11T23:47:24.974707 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-07-11T23:47:24.974720 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-07-11T23:47:24.974732 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-07-11T23:47:24.974745 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-07-11T23:47:24.974757 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-07-11T23:47:24.974770 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-07-11T23:47:24.974782 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-07-11T23:47:24.974795 #15822] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-07-11T23:47:24.974807 #15822] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `load'
E, [2017-07-11T23:47:24.974819 #15822] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `<main>'
E, [2017-07-11T23:47:24.974842 #15822] ERROR -- Kitchen: ----End Backtrace-----
